batteryMilliWatts,batteryMilliAmps,isBatteryInFloat,batteryVoltage,samplePeriodMilliSec,timestamp,SOC_pct,Load_W,Solar_W,Grid_W
-4502,-363,1,12386,300000,1629151200,68,4.527210712432,-0.02504681237041,0.0
-4376,-353,1,12388,300000,1629151500,68,4.4151301384,-0.0187877882272,-0.01935711689293
-4399,-355,1,12383,300000,1629151800,68,4.4885725975,-0.05008170753717,-0.03869950026273
-1796,-144,1,12409,300000,1629152100,68,1.863087654113,-0.03763813525438,-0.02908401563763
-4358,-352,1,12378,300000,1629152400,68,4.3677573204,-0.01877259463071,0.00967073161155
-5514,-446,1,12354,300000,1629152700,67,5.558598041534,-0.02498246543109,-0.01930463127791
-5649,-457,1,12346,300000,1629153000,67,5.710649967193,-0.01248229667544,-0.04822705313563
-5647,-457,1,12346,300000,1629153300,67,5.716891288757,-0.03120573796331,-0.03858164325356
-4444,-359,1,12367,300000,1629153600,67,4.451332569122,0.01250374410301,-0.01932396739721
-4359,-352,1,12366,300000,1629153900,67,4.44486951828,-0.037509445101,-0.04830761998891
-1812,-146,1,12385,300000,1629154200,66,1.803198575973,0.0,0.00967625621706
-4325,-350,1,12352,300000,1629154500,66,4.427085876464,-0.0437088869512,-0.05790008977055
-4339,-351,1,12352,300000,1629154800,66,4.352364063262,-0.0124888503924,0.0
-4263,-345,1,12349,300000,1629155100,66,4.301382541656,-0.0187288057059,-0.01929634623229
-4287,-347,1,12346,300000,1629155400,66,4.33156299591,-0.02496578358113,-0.01929174177348
-4315,-349,1,12347,300000,1629155700,65,4.3504948616,-0.02496697567403,-0.00964633096009
-4333,-350,1,12354,300000,1629156000,65,4.390459060668,-0.018735954538,-0.03860742598772
-4340,-351,1,12339,300000,1629156300,65,4.397488594055,-0.0374254360795,-0.01927977055311
-4204,-340,1,12334,300000,1629156600,65,4.25239944458,-0.01870556920766,-0.02890860848128
-4063,-329,1,12341,300000,1629156900,65,4.136301040649,-0.04367135465145,-0.02892518229782
-3628,-293,1,12347,300000,1629157200,65,3.707595348358,-0.04993395134806,-0.0289389938116
-3482,-282,1,12347,300000,1629157500,65,3.514269590377,-0.01248408481478,-0.01929358392953
-3103,-251,1,12353,300000,1629157800,65,3.153584480285,-0.03122361004352,-0.01930186897516
-2922,-236,1,12351,300000,1629158100,65,2.940843105316,-0.01873148418962,0.0
-2933,-237,1,12343,300000,1629158400,65,2.920159816741,-0.00623965868726,0.01928621716797
-2617,-211,1,12362,300000,1629158700,65,2.69977903366,-0.04374642297625,-0.03863320499658
-2518,-203,1,12363,300000,1629159000,65,2.549912691116,-0.01249957457184,-0.019317522645
-2455,-198,1,12361,300000,1629159300,65,2.4995572567,-0.04374225065112,0.0
-2380,-192,1,12362,300000,1629159600,65,2.431051015853,-0.03124744258821,-0.01931660249829
-2295,-185,1,12364,300000,1629159900,64,2.381509304046,-0.037504080683,-0.0483007133007
-2221,-179,1,12363,300000,1629160200,64,2.268780708312,-0.03750050812959,-0.00965922232717
-3645,-295,1,12320,300000,1629160500,64,3.724367856979,-0.04982432723045,-0.02887546084821
-3727,-302,1,12319,300000,1629160800,64,3.780239582061,-0.04359420016407,-0.00962469354271
-3372,-273,1,12324,300000,1629161100,64,3.420339107513,-0.01869037561118,-0.02888512983918
-3983,-323,1,12307,300000,1629161400,64,4.100155830383,-0.06843963265419,-0.04807742685079
-4050,-329,1,12302,300000,1629161700,64,4.135704040527,-0.05597193166613,-0.02883402816951
-4043,-328,1,12303,300000,1629162000,64,4.16699886322,-0.05597461014986,-0.06728262454271
-4109,-334,1,12298,300000,1629162300,64,4.178036212921,-0.04973853379487,-0.01921716146171
-4075,-331,1,12296,300000,1629162600,64,4.164603710174,-0.03107913210988,-0.05763766914606
-4168,-339,1,12293,300000,1629162900,64,4.257024765014,-0.04971708357334,-0.03841774538159
-4084,-332,1,12293,300000,1629163200,64,4.163606166839,-0.03107168711721,-0.04801988229155
-4049,-329,1,12290,300000,1629163500,64,4.150182247161,-0.04348994046449,-0.05761005356907
-4098,-333,1,12287,300000,1629163800,64,4.167821407318,-0.0496908724308,-0.01919874548912
-4098,-333,1,12284,300000,1629164100,64,4.123353004455,-0.02483947947621,0.0
-4056,-330,1,12282,300000,1629164400,64,4.141386508941,-0.05588077753782,-0.0287870708853
-4094,-333,1,12281,300000,1629164700,64,4.128770351409,-0.04346074163913,0.00959522929042
-4058,-330,1,12278,300000,1629165000,64,4.127582073211,-0.03103444911539,-0.03836986795067
-4084,-332,1,12271,300000,1629165300,64,4.112995624542,-0.01861083880066,-0.0095874024555
-4050,-330,1,12273,300000,1629165600,64,4.119594573974,-0.04963367804884,-0.01917664706707
-4043,-329,1,12269,300000,1629165900,64,4.093598365783,-0.03101210668683,-0.01917112246155
-4092,-333,1,12265,300000,1629166200,64,4.135823249816,-0.04340444132685,0.0
-4025,-328,1,12264,300000,1629166500,64,4.104228496551,-0.03099870122969,-0.0479070842266
-4023,-328,1,12257,300000,1629166800,64,4.089666366577,-0.03717878088355,-0.02872906066477
-4038,-329,1,12252,300000,1629167100,64,4.07550907135,-0.03716269508004,0.0
-4063,-331,1,12254,300000,1629167400,64,4.0760974884,-0.01238935440778,0.0
-4008,-327,1,12250,300000,1629167700,64,4.087110519409,-0.0495407320559,-0.02871110662817
-4067,-332,1,12248,300000,1629168000,64,4.074136734008,-0.00619169790298,0.0
-3143,-256,1,12268,300000,1629168300,64,3.206344366073,-0.04341278597712,-0.01916928216814
-6038,-494,1,12201,300000,1629168600,64,6.081809043884,-0.02467265725135,-0.01906523481011
-4913,-402,1,12220,300000,1629168900,64,4.9604511261,-0.03706439211964,-0.00954688992351
-4947,-404,1,12216,300000,1629169200,64,4.952840328216,-0.02470244839787,0.01908825524151
-4910,-402,1,12210,300000,1629169500,64,4.913415431976,-0.01234526652842,0.00953952409327
-4449,-364,1,12222,300000,1629169800,64,4.430048942565,0.0,0.01909746043384
-4331,-354,1,12218,300000,1629170100,64,4.385529994964,-0.00617680326104,-0.04772984236478
-4398,-360,1,12216,300000,1629170400,64,4.384684085845,-0.02470244839787,0.038176510483
-5469,-448,1,12187,300000,1629170700,64,5.544912815093,-0.03696608543395,-0.03808627277612
-5220,-428,1,12187,300000,1629171000,64,5.255344867706,-0.00616101501509,-0.02856470644474
-6041,-496,1,12171,300000,1629171300,64,6.0849943161,-0.04306871816515,0.0
-4929,-404,1,12189,300000,1629171600,64,4.972900390625,-0.02464882843196,-0.01904682070016
-4859,-398,1,12186,300000,1629171900,64,4.922174930572,-0.02464167773723,-0.03808259218931
-4719,-387,1,12184,300000,1629172200,64,4.816515922546,-0.04927382618188,-0.04759403318166
-4664,-382,1,12184,300000,1629172500,64,4.72412776947,-0.03079613670706,-0.02855642139911
-5598,-460,1,12159,300000,1629172800,64,5.679840564727,-0.02458805777132,-0.05699958652257
-4422,-363,1,12178,300000,1629173100,64,4.506373882293,-0.07387498021125,-0.00951420236378
-4092,-335,1,12184,300000,1629173400,64,4.293189048767,-0.17246671021,-0.02855779975652
-3960,-324,1,12188,300000,1629173700,64,4.282112121582,-0.26493644714355,-0.05713217705488
-4205,-345,1,12175,300000,1629174000,64,4.634757995605,-0.36314836144447,-0.0665865316987
-4104,-337,1,12175,300000,1629174300,64,4.536276817321,-0.39392367005348,-0.03804944455623
-4083,-335,1,12172,300000,1629174600,64,4.541112422943,-0.381502687931,-0.07607679069042
-3999,-328,1,12168,300000,1629174900,64,4.502666950225,-0.455187648535,-0.04753188043832
-2146,-175,1,12202,300000,1629175200,63,2.8683347702,-0.616846263409,-0.10486386716365
-3575,-292,1,12230,300000,1629175500,59,4.500833034515,-0.896457016468,-0.02866414748132
-4497,-369,1,12168,300000,1629175800,58,5.825171470642,-1.260992765426,-0.066544637084
-3463,-284,1,12188,300000,1629176100,57,4.836864471435,-1.306261420249,-0.06665743142366
-3389,-278,1,12184,300000,1629176400,57,4.828834056854,-1.410463094711,-0.02855642139911
-3187,-261,1,12188,300000,1629176700,57,4.769086837768,-1.534240961074,-0.04761244729161
-2996,-245,1,12197,300000,1629177000,56,4.729382514953,-1.732668042182,0.0
449,36,1,12218,300000,1629177300,56,1.39595746994,-1.797449588775,-0.04772984236478
-2699,-221,1,12195,300000,1629177600,56,4.642159938812,-1.923444747924,-0.01905510574579
-2674,-219,1,12195,300000,1629177900,56,4.611335277557,-1.898785114288,-0.03811021149158
-2551,-209,1,12196,300000,1629178200,56,4.587119579315,-2.016112804412,-0.01905694976449
-2266,-185,1,12202,300000,1629178500,54,4.552544593811,-2.276272296905,-0.00953353848308
-1634,-133,1,12221,300000,1629178800,54,4.4914021492,-2.866589307785,0.00954781007021
-984,-80,1,12250,300000,1629179100,55,4.508206367492,-3.523584365844,0.0
-272,-22,1,12284,300000,1629179400,57,4.477530479431,-4.1670217514,-0.03839012607932
922,74,1,12344,300000,1629179700,60,4.492982864379,-5.3478975296,-0.067508213222
2001,160,1,12448,300000,1629180000,65,4.379914283752,-6.38108253479,0.0
8995,705,1,12756,300000,1629180300,66,4.307784080505,-13.323177337646,0.019932590425
2030,161,1,12567,300000,1629180600,74,4.224848270416,-6.245151042938,-0.00981851294636
3936,311,1,12640,300000,1629180900,76,4.211071968078,-8.128199577331,-0.01975120045244
7205,566,1,12728,300000,1629181200,76,4.195281028747,-11.331119537353,-0.06960938125848
6824,535,1,12744,300000,1629181500,77,4.136100292205,-10.900750160217,-0.05973976850509
7010,549,1,12768,300000,1629181800,77,4.040478229522,-11.011272430419,-0.03990016877651
7162,560,1,12777,300000,1629182100,77,3.972411394119,-11.064619064331,-0.06987686455249
7456,582,1,12796,300000,1629182400,77,3.881242752075,-11.307353973388,-0.02999142184853
9459,736,1,12837,300000,1629182700,77,3.79641008377,-13.225785255432,-0.030088102445
9489,738,1,12847,300000,1629183000,77,3.714942455291,-13.184147834777,-0.02007438801229
10536,818,1,12876,300000,1629183300,77,3.130949497222,-13.617352485656,-0.05029876157641
10315,800,1,12878,300000,1629183600,77,3.137889623641,-13.352306365966,-0.10061132907867
9172,713,1,12849,300000,1629183900,77,3.118005752563,-12.270652771,-0.0200780685991
10569,819,1,12889,300000,1629184200,77,3.108038663864,-13.657125473022,-0.02013975940644
12798,987,1,12955,300000,1629184500,77,2.875085115432,-15.6132183075,-0.060728661716
13331,1027,1,12977,300000,1629184800,77,2.407589912414,-15.69853401184,-0.04055390879511
16610,1271,1,13066,300000,1629185100,77,2.146777629852,-18.726509094238,-0.03062536567449
17082,1304,1,13096,300000,1629185400,77,1.833923578262,-18.875511169433,-0.040927734226
17136,1307,1,13109,300000,1629185700,77,1.537514090538,-18.622476577758,-0.05121031031012
17311,1318,1,13133,300000,1629186000,77,1.440691590309,-18.742269516,-0.01026047766208
17987,1365,1,13169,300000,1629186300,77,1.444699525833,-19.380279541,-0.05144510790705
18743,1420,1,13195,300000,1629186600,77,0.987220823764,-19.731075286865,0.0
19035,1439,1,13222,300000,1629186900,77,0.889026761055,-19.8527030945,-0.07231318950653
19479,1470,1,13248,300000,1629187200,77,0.756786048412,-20.2055168152,-0.03105075657367
20361,1531,1,13297,300000,1629187500,77,0.8267993927,-21.1674079895,-0.02077692560851
20857,1564,1,13333,300000,1629187800,77,0.653791427612,-21.500974655151,-0.01041654590517
21338,1596,1,13367,300000,1629188100,77,0.554130911827,-21.840866088867,-0.05221853777766
17608,1324,1,13298,300000,1629188400,77,0.50419062376,-18.0500240326,-0.06233629956841
24770,1833,1,13510,300000,1629188700,77,0.02048934996128,-24.716987609863,-0.07388585060834
18616,1388,1,13408,300000,1629189000,77,0.01355649717152,-18.619848251342,-0.01047547440975
19173,1426,1,13439,300000,1629189300,77,-0.02038121409714,-19.110786438,-0.04199765622615
26151,1910,1,13686,300000,1629189600,77,0.15221478045,-26.250127792358,-0.05346386879682
7778,593,1,13100,300000,1629189900,77,0.01986735127866,-7.78800201416,-0.01023469679057
10558,800,1,13192,300000,1629190200,77,0.02000765874981,-10.537366867065,-0.04122790321707
16394,1221,1,13416,300000,1629190500,77,0.027129676193,-16.359191894531,-0.06289152055978
